,Hungary_Biowaste,Hungary_Geothermal,Hungary_Hydro Run-of-river and poundage,Hungary_Other renewable,Hungary_Solar,Hungary_Wind Onshore,Hungary_Load,Italy_Biowaste,Italy_Geothermal,Italy_Hydro Run-of-river and poundage,Italy_Hydro Water Reservoir,Italy_Wind Onshore,Italy_Load,Poland_Biowaste,Poland_Hydro Pumped Storage,Poland_Hydro Run-of-river and poundage,Poland_Hydro Water Reservoir,Poland_Solar,Poland_Wind Onshore,Poland_Load,Spain_Biowaste,Spain_Geothermal,Spain_Hydro Run-of-river and poundage,Spain_Hydro Water Reservoir,Spain_Marine,Spain_Other renewable,Spain_Solar,Spain_Wind Offshore,Spain_Wind Onshore,Spain_Load,Germay_Biowaste,Germay_Geothermal,Germay_Hydro Run-of-river and poundage,Germay_Hydro Water Reservoir,Germay_Other renewable,Germay_Wind Offshore,Germay_Load,Denmark_Biowaste,Denmark_Solar,Denmark_Wind Offshore,Denmark_Wind Onshore,Denmark_Load,Sweden_Hydro Water Reservoir,Sweden_Solar,Sweden_Wind Onshore,Sweden_Load,Netherlands_Load
2022-9-27 19,392.0,1.0,49.0,45.0,1.0,479.0,20087.0,667.0,628.0,1779.0,190.0,4830.0,30932.0,98.0,1.0,156.0,1.0,1.0,1799.0,18985.0,1449.0,1.0,1873.0,7233.0,1.0,353.0,2197.0,1.0,41777.0,114105.0,19055.0,94.0,5999.0,811.0,373.0,546.0,210243.0,716.0,2.0,340.0,271.0,3387.0,6420.0,1.0,4418.0,12738.0,51649.0
2022-9-27 20,394.0,1.0,49.0,45.0,1.0,445.0,19049.0,664.0,628.0,1578.0,188.0,5153.0,28570.0,97.0,1.0,134.0,1.0,1.0,1499.0,17724.0,1493.0,1.0,1573.0,5917.0,1.0,357.0,2045.0,1.0,38121.0,102485.0,18364.0,97.0,6092.0,684.0,373.0,540.0,196550.0,707.0,2.0,382.0,276.0,3196.0,6140.0,1.0,4270.0,12124.0,48154.0
2022-9-27 21,398.0,1.0,49.0,42.0,1.0,468.0,18235.0,663.0,629.0,1263.0,26.0,5064.0,26299.0,98.0,1.0,112.0,1.0,1.0,1302.0,16681.0,1489.0,1.0,1525.0,4485.0,1.0,353.0,1817.0,1.0,33933.0,94117.0,17840.0,97.0,6166.0,396.0,373.0,608.0,184286.0,664.0,2.0,422.0,238.0,3052.0,5774.0,1.0,4117.0,11714.0,45348.0
2022-9-27 22,393.0,1.0,51.0,41.0,1.0,423.0,17247.0,662.0,629.0,1222.0,24.0,5449.0,25077.0,97.0,1.0,111.0,1.0,1.0,1213.0,16082.0,1537.0,1.0,1529.0,6701.0,1.0,337.0,1733.0,1.0,31385.0,90189.0,17469.0,97.0,6085.0,153.0,373.0,747.0,173820.0,655.0,2.0,417.0,252.0,2948.0,5604.0,1.0,3996.0,11316.0,43088.0
2022-9-27 23,389.0,1.0,49.0,42.0,1.0,308.0,16418.0,659.0,629.0,1169.0,24.0,5602.0,24448.0,97.0,1.0,111.0,1.0,1.0,1154.0,15744.0,1501.0,1.0,1489.0,6905.0,1.0,321.0,1145.0,1.0,29361.0,86465.0,17367.0,97.0,6094.0,176.0,373.0,979.0,168263.0,650.0,2.0,487.0,266.0,2968.0,5627.0,1.0,3929.0,11220.0,41496.0
2022-9-28 0,378.0,1.0,49.0,41.0,1.0,264.0,15928.0,661.0,628.0,1141.0,23.0,5621.0,24280.0,98.0,1.0,111.0,1.0,1.0,1195.0,15757.0,1453.0,1.0,1465.0,5713.0,1.0,321.0,709.0,1.0,27101.0,84285.0,17373.0,97.0,6100.0,237.0,373.0,1095.0,166201.0,651.0,2.0,527.0,282.0,2939.0,5687.0,1.0,3859.0,11046.0,40592.0
2022-9-28 1,376.0,1.0,49.0,37.0,1.0,132.0,15848.0,660.0,629.0,1132.0,27.0,5541.0,24446.0,97.0,1.0,111.0,1.0,1.0,1066.0,16103.0,1389.0,1.0,1461.0,4417.0,1.0,321.0,541.0,1.0,27741.0,83133.0,17348.0,97.0,6051.0,349.0,373.0,951.0,168029.0,663.0,2.0,387.0,277.0,2916.0,5830.0,1.0,3780.0,10889.0,40230.0
2022-9-28 2,379.0,1.0,49.0,37.0,1.0,55.0,16416.0,659.0,629.0,1167.0,30.0,5287.0,25806.0,97.0,1.0,111.0,1.0,1.0,959.0,16948.0,1409.0,1.0,1473.0,4029.0,1.0,325.0,401.0,1.0,28497.0,83653.0,17501.0,97.0,5991.0,197.0,373.0,733.0,173539.0,660.0,2.0,327.0,282.0,3090.0,6293.0,1.0,3790.0,11685.0,39866.0
2022-9-28 3,390.0,1.0,49.0,39.0,1.0,27.0,18125.0,660.0,629.0,1440.0,88.0,4825.0,29840.0,97.0,86.0,119.0,1.0,11.0,922.0,19245.0,1385.0,1.0,1473.0,3961.0,1.0,333.0,389.0,1.0,30289.0,86677.0,17776.0,97.0,5952.0,322.0,373.0,679.0,190927.0,672.0,2.0,254.0,311.0,3617.0,6888.0,1.0,3826.0,13327.0,41686.0
2022-9-28 4,388.0,1.0,49.0,44.0,58.0,40.0,20517.0,657.0,629.0,2312.0,569.0,4528.0,33989.0,98.0,707.0,127.0,39.0,276.0,907.0,21022.0,1445.0,1.0,1517.0,6437.0,1.0,325.0,305.0,1.0,32677.0,97777.0,18549.0,97.0,5845.0,896.0,373.0,682.0,221926.0,670.0,12.0,306.0,360.0,4120.0,7788.0,6.0,3834.0,14303.0,46673.0
2022-9-28 5,392.0,1.0,49.0,48.0,841.0,53.0,20861.0,670.0,628.0,2974.0,719.0,4260.0,37539.0,97.0,539.0,152.0,44.0,1168.0,890.0,21957.0,1449.0,1.0,1533.0,9557.0,1.0,325.0,73.0,1.0,34585.0,108985.0,19168.0,97.0,5761.0,1088.0,373.0,309.0,238581.0,680.0,121.0,217.0,362.0,4272.0,8296.0,28.0,3746.0,14701.0,52165.0
2022-9-28 6,384.0,1.0,49.0,49.0,2792.0,97.0,19852.0,676.0,619.0,2910.0,586.0,4361.0,39202.0,98.0,216.0,174.0,6.0,2320.0,751.0,21943.0,1449.0,1.0,1613.0,9025.0,1.0,337.0,3129.0,1.0,35881.0,111773.0,19322.0,97.0,5724.0,1623.0,373.0,182.0,247176.0,652.0,308.0,111.0,332.0,4339.0,8478.0,72.0,3675.0,14495.0,51682.0
2022-9-28 7,385.0,1.0,49.0,49.0,5063.0,175.0,18414.0,676.0,616.0,2336.0,467.0,4961.0,38897.0,97.0,1.0,153.0,1.0,3195.0,713.0,21453.0,1393.0,1.0,1641.0,6965.0,1.0,325.0,21057.0,1.0,33385.0,112773.0,19051.0,96.0,5814.0,1212.0,373.0,150.0,250092.0,634.0,477.0,101.0,360.0,4431.0,8404.0,124.0,3740.0,14744.0,46500.0
2022-9-28 8,385.0,1.0,49.0,48.0,6489.0,422.0,17599.0,658.0,617.0,2012.0,481.0,5597.0,37505.0,98.0,1.0,140.0,1.0,3945.0,735.0,21771.0,1433.0,1.0,1613.0,3129.0,1.0,329.0,40357.0,1.0,34021.0,113141.0,18732.0,94.0,5881.0,924.0,373.0,177.0,253985.0,628.0,665.0,76.0,472.0,4493.0,8444.0,165.0,3661.0,14707.0,41846.0
2022-9-28 9,378.0,1.0,49.0,47.0,6847.0,732.0,17377.0,657.0,616.0,1906.0,305.0,5723.0,35316.0,97.0,1.0,127.0,1.0,4043.0,817.0,22043.0,1393.0,1.0,1593.0,1945.0,1.0,325.0,46933.0,1.0,39057.0,114037.0,18381.0,93.0,5940.0,355.0,373.0,92.0,255997.0,650.0,665.0,78.0,468.0,4435.0,8384.0,185.0,3624.0,14688.0,39605.0
2022-9-28 10,370.0,1.0,49.0,53.0,6667.0,923.0,17517.0,655.0,615.0,1640.0,110.0,5536.0,35471.0,90.0,1.0,126.0,1.0,3736.0,847.0,21891.0,1353.0,1.0,1813.0,1033.0,1.0,305.0,48721.0,1.0,46389.0,115345.0,17985.0,94.0,6032.0,443.0,373.0,80.0,254614.0,637.0,631.0,70.0,439.0,4427.0,8350.0,192.0,3607.0,14659.0,40115.0
2022-9-28 11,367.0,1.0,49.0,50.0,6292.0,942.0,17252.0,651.0,622.0,1788.0,293.0,5492.0,36243.0,88.0,1.0,126.0,1.0,3145.0,755.0,21559.0,1337.0,1.0,1485.0,1101.0,1.0,313.0,48401.0,1.0,50317.0,115941.0,17889.0,93.0,6022.0,618.0,373.0,127.0,248999.0,581.0,581.0,49.0,402.0,4255.0,8345.0,169.0,3590.0,14481.0,41320.0
2022-9-28 12,364.0,1.0,49.0,47.0,5251.0,952.0,17948.0,655.0,620.0,2086.0,529.0,5656.0,36404.0,88.0,10.0,126.0,1.0,2402.0,600.0,21643.0,1253.0,1.0,1509.0,981.0,1.0,321.0,48729.0,1.0,50405.0,113713.0,18016.0,93.0,6119.0,935.0,373.0,211.0,243035.0,590.0,473.0,33.0,420.0,4128.0,8524.0,130.0,3593.0,14441.0,43233.0
2022-9-28 13,374.0,1.0,49.0,52.0,3372.0,754.0,19162.0,655.0,620.0,2047.0,296.0,5773.0,36288.0,87.0,265.0,126.0,1.0,1376.0,541.0,21597.0,1321.0,1.0,1485.0,849.0,1.0,337.0,47377.0,1.0,50585.0,110717.0,18184.0,93.0,6159.0,690.0,373.0,136.0,237352.0,720.0,332.0,26.0,327.0,4141.0,8552.0,76.0,3610.0,14489.0,45223.0
2022-9-28 14,372.0,1.0,49.0,50.0,1540.0,563.0,20171.0,666.0,620.0,2068.0,196.0,5435.0,35420.0,90.0,807.0,126.0,1.0,530.0,525.0,21666.0,1205.0,1.0,1449.0,1085.0,1.0,353.0,46409.0,1.0,50569.0,110405.0,18736.0,93.0,6198.0,804.0,373.0,80.0,232763.0,677.0,167.0,18.0,297.0,4333.0,8583.0,28.0,3647.0,14818.0,47883.0
2022-9-28 15,373.0,1.0,49.0,51.0,305.0,289.0,21028.0,672.0,619.0,2649.0,382.0,4762.0,35193.0,97.0,1100.0,138.0,39.0,102.0,595.0,22160.0,1249.0,1.0,1457.0,885.0,1.0,349.0,42305.0,1.0,51557.0,110497.0,19271.0,96.0,6245.0,1095.0,373.0,32.0,234297.0,678.0,41.0,30.0,298.0,4182.0,8486.0,6.0,3803.0,14663.0,52728.0
2022-9-28 16,377.0,1.0,49.0,49.0,2.0,232.0,22397.0,673.0,622.0,3335.0,600.0,4366.0,37363.0,97.0,1515.0,158.0,44.0,1.0,683.0,23062.0,1305.0,1.0,1513.0,1121.0,1.0,349.0,30497.0,1.0,50373.0,110521.0,19635.0,97.0,6296.0,679.0,373.0,57.0,236662.0,671.0,2.0,66.0,332.0,4056.0,8399.0,1.0,3881.0,14535.0,54147.0
